,DQN,DDQN,Priority
311,-80.93155007263711,-60.01933623279862,-116.9550976629545
312,-80.40237616055215,-58.61296274517662,-117.668005743251
313,-80.37936960889829,-61.556437705001784,-116.0621330196947
314,-78.45577100998892,-60.69816519845001,-114.24967230965143
315,-79.08144441523378,-60.065533519199136,-113.752007135966
316,-77.43569584504363,-56.85176165417765,-114.07872381207308
317,-76.133006783236,-56.33978545774709,-114.4874923660793
318,-74.95718022638647,-54.12263170469179,-115.08381116433617
319,-75.98693833728854,-53.539549284088324,-114.31390067960209
320,-74.27668134150656,-53.509974163527225,-114.99136506701909
321,-72.48367300607438,-50.928377641567835,-112.19668450123643
322,-72.20013160074467,-48.65656242037925,-111.64728389837097
323,-70.62133169887947,-48.338351819679836,-110.7708100182423
324,-69.0370617802561,-47.472757962437846,-107.72868472641552
325,-68.16605322894443,-47.89319034949082,-108.49843256704558
326,-64.93988261911534,-46.751475634171236,-109.87474760653276
327,-63.96149088202564,-45.319867263443136,-108.2276425762566
328,-64.0886774310889,-45.99335702927442,-107.427318479734
329,-64.0553489909321,-44.41594672177846,-106.92993766924606
330,-62.83265682971982,-44.33580168843935,-107.18186185354807
331,-61.927044018564395,-40.619115581964266,-106.60558998005634
332,-59.56832773199627,-41.3096941219022,-107.30660877291172
333,-58.19729723125063,-38.51197630359969,-106.44471455286217
334,-57.05083782581249,-38.448149216454844,-106.96408031785228
335,-55.79734167203676,-35.37447967229604,-106.47212325122844
336,-53.398593802291096,-31.84536295522697,-104.42924317986916
337,-53.92202511940071,-32.90151231306844,-102.11114441181228
338,-54.088593010223946,-33.89238622921999,-100.40544781327982
339,-53.669217942868706,-33.70998822877834,-99.96954883473958
340,-53.84580252759649,-33.891717823651874,-98.25421734853114
341,-51.400714641988564,-30.665276731351984,-98.96394025354105
342,-50.770658306198065,-27.68263418397164,-98.85707593371394
343,-50.397073719769836,-28.296153746465748,-98.23371762300505
344,-49.47004561535566,-25.68013815063161,-97.07486869095077
345,-49.5869278024933,-25.544924527781422,-96.57829301200594
346,-47.04745788926782,-25.30879746245128,-96.71223691131297
347,-47.46420924228347,-21.645670771789877,-98.19941309704181
348,-46.71477384350338,-18.27833074708294,-98.65094406904589
349,-46.11785659232397,-16.564027728446742,-97.92709495790696
350,-47.10025144122621,-16.523820162127514,-96.6307318422655
351,-45.897294209818604,-14.879595513038105,-97.33788162440976
352,-45.578601553172085,-12.325765781553287,-97.78421078365508
353,-45.259655712238754,-10.386048238407279,-95.07642031430768
354,-42.7119040515496,-11.662188230944173,-93.38375346532365
355,-39.75931153817354,-8.034181153194346,-90.58362830504329
356,-39.58663023002348,-8.628748632440832,-89.9772969790475
357,-39.08341195467492,-5.964586463205092,-87.40978943682516
358,-39.98401972553109,-3.3785193858367597,-87.36612120810724
359,-39.33729830770773,-4.050478703979974,-85.65194574139338
360,-39.17956960682358,0.19221079178481745,-83.40038498959102
361,-36.119727264219364,3.100067311870024,-82.26289216390347
362,-34.33849232669817,5.844980636167783,-82.53501144861782
363,-34.51687003403075,11.293535182411945,-82.87343957289833
364,-35.06947776845,8.338150972546373,-82.66304329963617
365,-36.23671773493936,12.07151579910643,-82.9267774318591
366,-36.70178164823426,12.99517255354383,-82.69736777251366
367,-35.655589385399786,17.984785335305773,-78.6142679397628
368,-36.15783561304619,19.533965833203148,-78.78765399648555
369,-35.85493875777515,21.158402829665164,-78.10127039174857
370,-31.789752852793203,19.728496458547944,-77.02707555121253
371,-29.626363035590817,21.562017333832163,-76.84853385335109
372,-29.521220808239026,21.005283390877757,-75.9484755571254
373,-28.43798521657017,26.844888610525416,-75.30518476544839
374,-26.32311409127203,28.3158940949908,-73.94536697267226
375,-26.63117749512399,27.945834211151528,-73.61601658640103
376,-23.97999838499136,30.190743090785205,-71.54235287212286
377,-21.87527751623936,32.26341199140581,-70.91042792607821
378,-21.54825202831732,33.997793368268105,-67.30754594100395
379,-18.984044065576953,36.91648714318428,-65.23599074829318
380,-19.45326459570823,37.54079362621596,-64.60130945938407
381,-19.20790412592123,35.50481069208647,-65.0270853466606
382,-18.60774784695918,41.19035059013556,-64.73903831527497
383,-19.043389054740125,42.22814432747379,-64.32182303851016
384,-19.030386098520545,39.839492883191234,-64.53276566451923
385,-19.31984363451879,38.896964384105075,-63.96969165276494
386,-16.863944891915523,39.23040535081117,-61.64071508459671
387,-16.828805681640656,41.29104414384411,-59.97095981570121
388,-16.447118496072125,43.88057143437877,-59.941340067235075
389,-16.742664002694088,46.40027827165464,-59.85146342246658
390,-16.74863915629678,48.151546580276644,-56.44551161396637
391,-16.29660280342461,47.92692792954923,-54.49671597236048
392,-15.626138784154378,49.6659771183196,-53.91051757222589
393,-15.462823276096643,49.34936193275975,-51.646718571426575
394,-14.614618842702248,50.96550025920478,-50.86519106057467
395,-12.28767965730169,52.77097351167865,-51.41162401329228
396,-12.050976822375729,55.12887032119821,-50.571342881296744
397,-12.168009702968813,54.37983791009306,-51.25572274383707
398,-11.837950988454141,56.120632809697184,-46.022929522293396
399,-12.078379998501505,56.85941653843906,-43.25881184945839
400,-9.699087447013541,59.409023902669894,-41.82502506920971
401,-9.088370460000721,58.6594153233335,-40.75064423545379
402,-6.250430750159108,59.93416993751105,-39.23891866829528
403,-6.339572412163459,62.50388466436944,-38.14889642876194
404,-6.331934497900269,62.74705968422222,-37.05845715942944
405,-5.702738474209134,63.90766016763882,-36.819794001368216
406,-5.647403673456304,65.458794463948,-35.86371713175016
407,-5.4473615666271735,65.17401728406531,-36.96277590537292
408,-4.872576856710817,65.57934857714058,-36.91211236886649
409,-5.66086367105208,65.56006178955776,-38.514702570884715
410,-4.962515289887046,65.1000135838709,-38.48454407849703
411,-5.090913052195431,65.53848410894197,-40.021348966757905
412,-6.143122725100751,69.2246913875359,-40.06264278648375
413,-5.760360363437159,71.2604388698354,-39.027921041089805
414,-6.203053642001899,71.32306059576835,-39.90270613954847
415,-6.088268663032928,72.48816608775668,-40.03774007519313
416,-5.858455154510577,73.55371130809495,-38.819481092046146
417,-6.8700955035194715,76.37510074934151,-38.634705498599644
418,-4.693942640778091,73.42660085249796,-35.3589610642366
419,-3.621029249064886,73.64966997029444,-34.712661646006815
420,-2.947781145633081,74.80575068182898,-34.27057626889282
421,-0.3754856854832309,76.84294525890951,-34.234011729905376
422,-1.535649603196419,76.62993259049922,-37.363450963425116
423,-2.2122856696987117,77.36115904229149,-37.598411276799816
424,-2.524367212142898,79.03948336541379,-37.61918389035761
425,-2.904706485421886,79.55280395307786,-37.81863809561682
426,-3.348374808502834,77.58582083699235,-36.10938580600881
427,-4.552242763312631,76.86451183394178,-36.42455571128127
428,-2.0305584053567354,76.50575769699199,-35.96922878460887
429,-2.0900090495155093,77.48778439675212,-35.72111985881604
430,-2.1653911881873613,77.55998843351847,-36.13794949380785
431,-0.7386146651286336,76.8001062090115,-35.13792900039052
432,1.0276918548516312,75.81097329019596,-34.266647112206726
433,1.3983070516359586,74.50574880338112,-34.26958673377425
434,0.5778614888392049,75.12964277448381,-34.07777121319506
435,0.3459689340736239,75.6764773277621,-33.739552848176984
436,1.5644493612425339,78.07057656149227,-34.43468133422014
437,1.911280312309192,78.30137165836345,-34.37258087995819
438,2.0332093959497386,78.6305769004105,-34.4446317625766
439,2.035366677484772,80.68015621692905,-33.88299886936465
440,2.4623648676559724,80.61972257228489,-34.01487045912677
441,1.9983638516651674,79.37014631578405,-32.730341679986616
442,2.1237417382539836,81.27998724224491,-32.62841904892418
443,4.580611236364556,83.45561000060326,-35.20096803302923
444,4.105504054136997,83.40226839859548,-36.007366086736766
445,4.65692421983598,82.62853421394972,-33.64510429882881
446,4.6084852156299165,82.51989993217222,-33.31697323779526
447,4.986026132078339,81.85257935042382,-32.6524311470366
448,7.472870938978819,82.33398978345899,-31.261076379193685
449,7.40263883938431,83.8376972138413,-31.756702724494126
450,9.443070135111922,85.82119301679293,-31.266006374451806
451,9.68324942032999,85.01478986798074,-30.317050541412314
452,9.788568097342456,82.74775439977196,-29.748260756834107
453,11.750383557723826,79.57666167065474,-28.825647990450587
454,11.506895342982927,79.5804434539648,-26.88881841484504
455,11.621012909105891,76.33997448084199,-25.35988591880358
456,11.62985447374702,75.66572633943852,-25.59763537158106
457,11.782806804926745,75.06409692259527,-25.037537415572324
458,13.79639442008303,71.87879772009714,-24.35284452614532
459,13.139905816545024,72.72150615342807,-24.294301766533504
460,12.612792536166957,73.79278465355782,-22.87076185055131
461,12.376936023805962,73.6816153656717,-23.175026724947017
462,11.839413069510282,71.65705266344166,-22.59112930213164
463,13.856116755553211,71.16392954265365,-22.613260766372086
464,14.311731002051472,73.49733106509352,-22.218261675520925
465,13.45043688726991,72.89164439973513,-22.001160670563355
466,13.77507623925544,74.9502816918664,-21.428115799329486
467,13.355358224282831,75.56791120620295,-21.631073948456415
468,13.248286237152529,75.44404688408967,-18.686199160790935
469,13.271770412331364,75.52758696965232,-19.516717422551327
470,13.537145192069765,77.19017496050178,-20.3464868659276
471,13.372166922296607,75.1299363763601,-20.315356745308772
472,13.745983984479018,74.19812844503414,-19.291511871074523
473,13.709795178211811,72.89565134104114,-20.06201799743034
474,13.492791132482328,72.93631644662256,-18.79038462628558
475,13.701843379508432,73.39220376199759,-18.843310693149455
476,13.454129940878152,71.72285634623785,-15.140568938164327
477,13.772280025611535,72.2445992772635,-14.18313300483822
478,15.266178365278874,72.04920759085918,-16.55648068551029
479,13.428498168266174,71.35479080761134,-16.10137369821968
480,15.673694887696989,73.00545279509423,-15.1134891470841
481,16.014879003073553,75.34028131340396,-14.91023137075489
482,18.15528237019266,73.01721868907099,-14.983843869452238
483,18.658254249618896,71.074558802048,-14.891717256188299
484,18.800313978449818,71.98197262014136,-14.401422509448388
485,19.56698543967279,74.09981174818067,-14.804197964742508
486,19.736410599364273,73.84342453539283,-15.111136210962368
